"host_is_superhost","identity_varified_host","Allston","Back Bay","Beacon Hill","Brighton","Charlestown","Dorchester","Downtown","East Boston","Fenway","Jamaica Plain","Mission Hill","North End","Other","Roslindale","Roxbury","South Boston","South Boston Waterfront","South End","is_apartment","is_condominium","is_house","is_other_type","is_Entire_home/apt","is_Private_room","is_shared_room","accommodates","bathrooms","bedrooms","beds","Airbed","Couch","Futon","Pull-out Sofa","Real Bed","price","is_deposit","is_clean_fee","guests_included","is_extra_people","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","Cancellation_policy_flexible","Cancellation_policy_moderate","Cancellation_policy_strict","Cancellation_policy_SuperStrict","reviews_per_month"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","2","1","1","0","0","0","0","1","73.00 ","0","1","1","0","19","99","10","9","10","10","9","10","0","1","0","0","1.35"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","2","1","1","0","0","0","0","1","120.00 ","1","1","1","1","17","96","9","10","10","10","10","9","0","0","1","0","0.41"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","3.5","1","2","0","0","0","0","1","125.00 ","1","0","1","1","1","100","10","10","10","10","10","10","1","0","0","0","0.21"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","1","0","70.00 ","0","0","1","0","7","93","10","9","10","10","10","9","1","0","0","0","1.35"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","1","1","1","0","0","0","0","1","61.00 ","0","1","1","0","7","97","10","10","10","10","10","10","0","1","0","0","0.78"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","100.00 ","0","0","1","0","14","88","9","9","10","10","8","9","1","0","0","0","0.35"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","80.00 ","0","0","1","0","12","98","10","9","10","10","10","10","1","0","0","0","3.91"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","85.00 ","0","0","1","0","3","100","10","10","10","10","9","9","1","0","0","0","0.12"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","57.00 ","0","0","1","0","1","20","10","10","10","10","2","6","1","0","0","0","0.44"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","100.00 ","0","1","1","0","20","98","10","10","10","10","10","10","0","0","1","0","0.71"
